"LinAccX" "LinAccY" "LinAccZ"
"1" 0 0 0
"2" -0.11 0.07 0.11
"3" -0.12 0.05 0.1
"4" -0.1 0.08 0.11
"5" -0.09 0.05 0.09
"6" -0.1 0.04 0.11
"7" -0.09 0.05 0.13
"8" -0.07 0.06 0.09
"9" -0.1 0.05 0.09
"10" -0.1 0.08 0.1
"11" -0.08 0.07 0.11
"12" -0.1 0.03 0.08
"13" -0.1 0.07 0.11
"14" -0.1 0.09 0.09
"15" -0.08 0.05 0.09
"16" -0.08 0.03 0.17
"17" -0.09 0.06 0.13
"18" -0.08 0.08 0.14
"19" -0.08 0.05 0.07
"20" -0.08 0.04 0.14
"21" -0.1 0.04 0.09
"22" -0.1 0.06 0.05
"23" -0.09 0.06 0.1
"24" -0.08 0.04 0.11
"25" -0.08 0.02 0.09
"26" -0.08 0.07 -0.01
"27" -0.09 0.04 0.04
"28" -0.09 0.06 0.01
"29" -0.09 0.06 0.05
"30" -0.09 0.07 0.04
"31" -0.1 0.03 0.08
"32" -0.1 0.06 0.07
"33" -0.09 0.04 0.12
"34" -0.09 0.06 0.11
"35" -0.1 0.06 0.09
"36" -0.08 0.07 0.11
"37" -0.08 0.07 0.09
"38" -0.09 0.06 0.1
"39" -0.09 0.05 0.12
"40" -0.09 0.05 0.13
"41" -0.1 0.07 0.12
"42" -0.11 0.05 0.11
"43" -0.1 0.07 0.09
"44" -0.12 0.04 0.13
"45" -0.08 0.04 0.11
"46" -0.1 0.06 0.09
"47" -0.09 0.05 0.13
"48" -0.09 0.05 0.12
"49" -0.12 0 0.26
