"LinAccX" "LinAccY" "LinAccZ"
"1" 0 0 0
"2" 7.72 -29.35 -9.33
"3" -8.62 3.14 1.51
"4" -0.01 -1.45 -1.49
"5" 3.45 -2.33 -1.4
"6" 1.27 -0.24 -1.72
"7" 2.99 -1.28 -2.18
"8" 0.14 3.57 2.53
"9" -1 2.74 2.77
"10" -0.19 -0.22 -0.71
"11" 0.19 0.81 -1.92
"12" 0.41 -0.16 -1.8
"13" 0.63 -0.93 -1.81
"14" 0.23 -0.39 -1.38
"15" 0.28 0.17 -1.26
"16" -0.79 1.01 -1.1
"17" -0.83 0.95 1.13
"18" -0.74 1.27 0.78
"19" 0.77 -1.97 -1.84
"20" 0.63 -1.04 -1.6
"21" 0.03 0.34 -1.49
"22" -0.23 -0.53 -0.78
"23" -0.57 0.26 -0.84
"24" -1.01 0.06 0.52
"25" -0.69 0.42 1.31
"26" -0.55 0.22 0.15
"27" 0.95 0.79 -2.78
"28" 1.24 0.65 0.3
"29" -0.32 -2.27 0.96
"30" 1.05 -1.79 0.76
"31" 1.5 -3.5 -3.36
"32" -0.24 2.18 -0.34
"33" -2.28 -2.82 -4.72
"34" -3.13 0.94 -1.76
"35" -0.84 -0.94 2.83
"36" 2.82 -1.39 0.76
"37" 10.82 5.3 2.62
"38" 29.92 -4.56 3.68
"39" -36.24 -45.97 -34.27
"40" -16.5 -27.4 6.66
"41" -6 -1.2 1.94
"42" 16.02 -6.22 -8.93
"43" 4.74 -1.71 10.69
"44" 13.64 -7.22 1.31
"45" 27.92 -31.52 8.05
"46" -37.59 32.5 -30.48
"47" -25.26 -17.69 10.74
"48" 11.91 -2.38 -7.47
"49" 22.98 8.41 -2.73
"50" 35.01 -9.74 9.57
"51" -38.38 -42.03 -40.74
"52" -12.74 -40.12 6.63
"53" -8.35 -8.33 -7.66
"54" 13.22 -9.53 -14.54
"55" 32.34 13.71 -2.14
"56" 34.08 -37.33 3.3
"57" -32.67 39.04 29.98
"58" -29.6 -22.65 10.01
"59" 18.01 -5.52 -3.51
"60" 28.18 16.02 0.3
"61" 35.63 -22.98 8.29
"62" -26.05 41.84 29.36
"63" -0.65 -20.65 20.77
"64" -6.18 -4.68 -6.8
"65" 17.95 -0.5 -10.17
"66" 34.29 -5.87 8.19
"67" -32.28 -42.73 -37.31
"68" -1.47 -42.09 -46.13
"69" -19.64 -10.09 -3.01
"70" 33.79 -5.14 -27.58
"71" 34.7 -21.53 14.42
"72" -38.43 19.55 29.31
"73" -19.7 -9.37 12.27
"74" 11.76 -6.21 -9.82
"75" 9.69 3.62 -6.82
"76" 1.96 4.11 -2.09
"77" 1.08 0.33 0.27
"78" 0.18 -0.56 -0.28
"79" 0.91 -0.55 -0.01
"80" 0.19 0.44 -1.97
"81" 0.1 0.8 -1.63
"82" 0.17 -0.45 -1.12
"83" -0.05 0.5 -1.66
"84" -0.24 -0.11 -1.05
"85" -0.11 1.39 -0.15
"86" -0.48 1.15 -0.22
"87" 1.42 -0.69 -0.98
"88" 0.3 -0.04 -0.65
"89" -0.05 -0.07 -1.06
"90" 0.22 0.03 -0.48
"91" -0.12 0.62 -1.76
"92" 0.88 -0.47 -1.85
"93" 0.38 0.39 -0.72
"94" -0.08 0.79 -0.16
"95" 0 0.25 -1.51
"96" -0.13 0 -1.65
"97" 3.88 2.71 -1.3
"98" 31.19 0.26 5.33
"99" -36.23 -15.66 -11.85
"100" 0.08 -11.78 3.43
"101" -3.17 2.7 5.03
"102" -1.42 3.63 2.32
"103" -1.08 3.22 1.43
"104" 0.03 1.75 -0.76
"105" -0.23 0.78 0.53
"106" -2.66 1.06 -0.58
"107" -3.17 -0.03 -0.44
"108" -1.67 -0.81 -1.08
"109" -0.98 -1.55 -1.19
"110" 0.97 -0.76 -3.31
"111" 2.18 -1.63 -1.55
"112" 1.76 -0.19 0.24
"113" 3.45 0.09 0.17
"114" 19.95 0.64 -2.57
"115" 37.2 -32.34 -6.57
"116" -30.45 33.51 1.67
"117" 1.19 -4.41 -1.55
"118" -1.54 0.22 3.16
"119" -0.89 1.13 3.58
"120" -1.28 2.78 1.2
"121" -1.01 1.36 0.1
"122" -4.86 -0.25 -0.62
"123" -7.12 -1.94 -0.44
"124" -1.06 -1.88 -1.18
"125" 4.23 -2.37 -2.4
"126" 3.32 -1.04 0.05
"127" 4.26 -0.72 3.02
"128" 7.24 -0.26 -0.37
"129" 27.41 6.29 3.07
"130" 37.76 -45.42 -21.07
"131" -2.89 -16.51 -48.31
"132" -1.5 -0.37 -0.56
"133" 0 -0.24 2.54
"134" -0.18 1.2 1.6
"135" -0.49 1.25 -0.32
"136" -0.82 0.72 -0.69
"137" -1.79 1.83 0.49
"138" -4.49 0.04 -0.42
"139" -5.07 -2.23 0.76
"140" -1.06 -1.76 1.55
"141" 1.94 -0.77 -0.89
"142" 5.37 -1.1 -0.78
"143" 3.24 0.24 -0.31
"144" 3.09 -1.1 0.99
"145" 2.35 0.34 -0.35
"146" 0.68 0.27 -0.97
"147" -0.42 0.32 -0.22
"148" -0.01 -0.26 -0.61
"149" -0.2 0.57 -0.45
"150" 0.57 0.58 -0.09
"151" 0.43 0.47 -0.46
"152" 0.34 -0.24 0.18
"153" -0.01 0.33 -1.28
"154" -0.07 0.1 -0.41
"155" 0.21 -0.07 -0.51
"156" 0.5 -0.08 -0.66
"157" 0.33 0.37 0.02
"158" 0.27 -0.22 0.22
"159" 0.77 0 -0.27
"160" -0.1 0.99 -0.52
"161" 0 0.18 1.02
"162" 0.11 0.24 0.17
"163" 0.65 0.31 -0.72
"164" 0.62 1.04 -1.32
"165" -0.25 0.97 -1.21
"166" -0.54 0.16 0.58
"167" 0.38 -0.63 -0.48
"168" 0.33 -0.2 -1.26
"169" -0.5 0.79 0.03
"170" 0.04 0.16 0.18
"171" 0.76 0.49 -0.36
"172" 0.1 -0.34 1.1
"173" -0.66 0.03 -0.27
"174" 0.23 -0.5 0.55
"175" 0.95 -0.24 -0.1
"176" 0.67 1.69 0.02
"177" 0.36 0.11 0.09
"178" -0.39 1.41 -0.64
"179" -0.68 2 -0.48
"180" 0.14 -0.38 0.4
"181" 0.4 -1.63 -0.65
"182" 0.02 -0.95 0.09
"183" 0.37 0.49 -0.74
"184" 0.31 0.53 -0.67
"185" 0 0.66 -1.43
"186" 0.67 0.96 -0.6
"187" 1.95 0.75 0.66
"188" 15.23 5.59 -1.55
"189" 31.63 -9.9 3.71
"190" -26.59 25.65 0
"191" -37.52 -16.4 7.69
"192" 10.81 -22.5 3.92
"193" 11.13 0 0
"194" 2.69 -1.09 -1.69
"195" 0 -0.42 1.36
"196" 1.23 -0.53 2.04
"197" 5.21 0.12 -1.29
"198" 18.62 5.4 -2.5
"199" 4.9 -33.28 -20.98
"200" -14.55 7.04 -23.57
"201" -32.86 -19.08 -1.56
"202" 30.81 -41.22 24.76
"203" 6.15 7.8 -4.7
"204" 4.35 0 0
"205" 3.83 0 0
"206" 14.88 1.48 -0.88
"207" 5.1 -21.55 -20.53
"208" -22.1 -3.92 -22.55
"209" -25.97 -22.39 11.95
"210" 4.02 -1.81 22.21
"211" 5.14 0 0
"212" 2.73 0.6 -0.3
"213" 0.06 -0.83 0.39
"214" 0.03 -0.46 -1.31
"215" -0.16 0.53 -0.02
"216" 0.01 0.17 0.17
"217" -0.76 -0.11 0.6
"218" -0.65 0.12 0.27
"219" -0.06 0.11 0.01
"220" 0.31 -0.05 -0.23
"221" 0.12 0.66 -0.13
"222" 0.09 1.04 0.25
"223" 0.08 1.08 0.66
"224" -0.12 0.53 0.08
"225" -0.14 0.27 -0.43
"226" 0.04 0 0
"227" 0.13 0 0
"228" 0.2 -0.21 -0.45
"229" 0.66 -1.77 -0.43
"230" -0.17 -0.12 -0.63
"231" -0.36 0.73 0.74
"232" -0.04 0.89 0.34
"233" 0.37 0.28 -0.18
"234" 0.07 0.55 -0.29
"235" 0.33 0.14 -0.21
"236" 0.4 0.2 -0.35
"237" 0.41 0.09 -0.34
"238" 0.3 0 -0.11
"239" 0.13 0.19 -0.44
"240" 0.11 0.52 -0.15
"241" -0.12 0.64 -0.1
"242" 0.16 0.35 -0.08
"243" 0.05 0.3 -0.18
"244" 0.36 -0.41 -0.28
"245" 0.26 0.35 -0.1
"246" 0.35 0.03 0.32
"247" 0.08 0.05 -0.41
"248" 0.39 -0.01 -0.53
"249" -0.19 0.92 0.56
"250" -0.39 0.44 0.07
"251" 0.05 -0.05 1.06
"252" -0.15 0.78 1
"253" 0.46 -0.11 0.05
"254" 0.12 0.47 -0.45
"255" -1.08 1.8 0.75
"256" 0.16 -0.16 0.16
"257" 0.75 -1.34 -0.42
"258" 0.4 0.23 -0.79
"259" -0.25 0.33 -0.16
"260" -0.14 0.39 1.02
"261" 0.28 -0.06 -0.05
"262" 0.48 -0.39 -0.56
"263" 0.27 0 -0.02
"264" -0.05 0.32 0.31
"265" 0.02 0 0
"266" 0.33 -0.01 -0.52
"267" -1.28 0.7 -0.09
"268" 0.1 0.15 0.27
"269" 0.1 0.23 -0.49
