"LinAccX" "LinAccY" "LinAccZ"
"1" 0 0 0
"2" 0.13 1.02 -0.09
"3" -0.21 0.23 0.45
"4" -0.98 0.24 0.83
"5" -2.78 -1.05 1.16
"6" -2.52 -1.21 1.85
"7" -3.08 -0.54 0.53
"8" -2.53 -0.07 0.56
"9" -1.72 -1.03 -0.53
"10" -1.86 0.23 0.46
"11" -2.06 -0.26 0.32
"12" 0.33 -0.3 -0.06
"13" -1.49 1.51 -2.63
"14" 1.13 0.09 -1.72
"15" -0.38 1.6 -0.68
"16" -0.22 0.13 -2.04
"17" -0.31 1.19 -0.96
"18" -1.3 0.88 1.17
"19" -1.52 -1.26 0.95
"20" -2.33 -1.26 -2.36
"21" -2.75 -0.11 -1.32
"22" -1.35 -0.74 -2.39
"23" -2 0.12 -1.54
"24" -0.89 0.5 1.24
"25" 0.37 0.82 0.64
"26" -0.7 1.88 1.95
"27" 0.36 1.17 3.33
"28" 0.67 -0.55 0.47
"29" -7.79 4.29 -0.27
"30" 4.81 0.16 3.72
"31" 37.44 -8.57 12.72
"32" -41.16 0.09 0
"33" -17.84 -16.81 -15.53
"34" 6.4 -5.01 2.91
"35" 2.76 -5.4 1.94
"36" -0.71 1.79 5.88
"37" -0.46 1.92 1.94
"38" 0.97 -1.94 -0.13
"39" -0.04 -1.08 0.96
"40" -1.68 0.07 2.48
"41" 0.06 -1.31 0.31
"42" -1.1 -1 -0.2
"43" -0.99 -1.74 -2.14
"44" -2.92 -0.74 -3.03
"45" -5.3 1.65 0.6
"46" 39.41 -8.99 25.51
"47" -41.36 1.58 0
"48" -22.88 -17.66 -9.97
"49" 9.75 3.13 5.12
"50" 4.81 -1.31 13.76
"51" -0.13 2.94 4.44
"52" -0.24 1.04 3.4
"53" 1.5 -1.03 2.6
"54" -1.22 -0.17 2.1
"55" -1.15 -0.19 2.07
"56" -0.74 0.21 1.29
"57" -0.5 -0.04 0.3
"58" -0.69 -1.12 0.61
"59" -0.9 -1 -0.51
"60" -1.38 0.19 -1.48
"61" -1.54 -2.07 0.94
"62" 15.93 0.76 13.44
"63" 36.32 -34.51 -32.29
"64" -38.57 -40.6 -31.96
"65" 15.47 4.19 -1.72
