"LinAccX" "LinAccY" "LinAccZ"
"1" 0 0 0
"2" 0.01 -0.24 -0.41
"3" -0.1 -0.24 -0.41
"4" -0.24 -0.31 -0.35
"5" -0.07 -0.51 -0.4
"6" 0.01 -0.53 -0.5
"7" 0 -0.39 -0.27
"8" 0.12 -0.17 -0.14
"9" 0.07 -0.36 -0.12
"10" 0.1 -0.16 -0.04
"11" 0.03 0.07 0.06
"12" 0.13 0.06 0.04
"13" 0.1 0.15 0.1
"14" 0.13 0.12 0.14
"15" 0.27 0.18 -0.01
"16" 0.02 0.25 -0.13
"17" 0.15 0.73 0.06
"18" -0.15 0.79 0.36
"19" -0.18 0.67 -0.04
"20" 0.05 0.01 -0.39
"21" 0.22 -0.14 -0.51
"22" 0.09 -0.31 -0.52
"23" 0.29 -0.21 -0.55
"24" 0.04 0 -0.43
"25" 0 0.26 -0.17
"26" 0.11 0.07 0.04
"27" 0.04 0.04 -0.08
"28" -0.25 0.22 -0.2
"29" -0.21 -0.03 -0.35
"30" -0.84 -0.35 -0.55
"31" 1.21 -0.65 -0.47
"32" -0.65 -1.05 -0.29
"33" -0.18 0.44 0.52
"34" 0.16 1.02 -0.08
"35" 0.06 1.05 0.33
"36" 0.11 -0.31 0.13
"37" 0.37 -0.42 -0.26
"38" 0 -0.07 -0.04
"39" 0.01 0.01 0.21
"40" -0.02 -0.32 0.25
"41" -0.47 -0.68 0.67
"42" 0.3 -0.59 -0.17
"43" -0.08 -0.25 0.44
"44" 0.43 -0.37 -0.25
"45" 0.91 0.42 -0.15
"46" 0.34 0.64 0.52
"47" -0.4 0.02 0.73
"48" -0.15 0.83 -0.05
"49" -0.22 0.11 0.31
"50" 0.21 -0.17 -0.87
"51" 0.38 0.27 -0.96
"52" 0.32 0.22 0
"53" -0.23 0.7 0.8
"54" 0.09 -0.03 0.23
"55" 0.14 -0.03 -0.16
"56" 0 -0.1 -0.05
"57" 0.06 -0.37 0.13
"58" 0 -0.36 0.24
"59" -0.03 -0.16 0.08
"60" -0.06 -0.11 -0.09
"61" 0.01 0.06 -0.15
"62" 0.11 0.07 -0.16
"63" -0.03 0.07 0.08
"64" -0.12 0.16 0.08
"65" -0.04 0.23 -0.26
"66" 0.26 0.63 -0.7
"67" 0.17 -0.01 0.22
"68" 0 -0.04 0.39
"69" 0.05 0.03 0.33
"70" 0.01 0.22 -0.03
"71" 0.01 0.17 -0.15
"72" 0.14 0.14 -0.1
"73" 0.02 0.17 0
"74" -0.01 0.17 0.05
"75" -0.09 0.01 0.09
"76" -0.06 -0.16 0.01
"77" -0.05 -0.01 -0.02
"78" 0.05 0.1 -0.11
"79" 0 0.09 -0.07
"80" -0.05 0.06 -0.01
"81" 0.01 -0.14 0.03
"82" 0 -0.1 0.04
"83" 0.02 -0.08 0
"84" 0.06 0.07 -0.1
"85" 0.03 0.16 -0.03
"86" 0.12 0.3 0.07
"87" 0.08 0.31 0.22
"88" 0.04 0.45 0.24
"89" 0.18 0.34 0.22
"90" 0.13 0.29 0.17
"91" 0.14 0.23 0
"92" -0.06 0.15 -0.12
"93" -0.12 0.15 -0.07
"94" -0.01 0.06 -0.21
"95" -0.2 0.11 -0.4
"96" -0.17 -0.12 -0.4
"97" -0.18 -0.19 -0.38
"98" -0.25 -0.21 -0.16
"99" -0.25 -0.22 -0.16
"100" -0.18 -0.21 -0.28
"101" -0.06 -0.08 -0.3
"102" -0.07 -0.15 -0.1
"103" -0.06 -0.45 -0.4
"104" -0.23 -0.29 -0.16
"105" -0.06 -0.52 -0.01
"106" -0.02 -0.92 0.15
"107" 0.08 -0.65 0.23
"108" -0.14 -0.37 0.09
"109" -0.19 -0.66 -0.77
"110" 0.04 1.64 -1.33
"111" -0.14 1.63 -0.28
"112" -0.09 3.04 0.43
"113" -0.5 2.43 0.39
"114" -0.21 1.03 -0.49
"115" -0.68 -0.55 -0.86
"116" -0.7 -0.2 -0.6
"117" -0.8 -0.81 0.26
"118" -1 -0.79 0.75
"119" -0.97 -1.06 -0.13
"120" -0.65 -0.86 -0.74
"121" -0.04 -0.5 -0.7
"122" 0.7 -0.03 -0.51
"123" 1.45 0.13 -0.73
"124" 1.13 -0.77 -0.41
"125" -0.16 -0.55 0.03
"126" -0.51 -1.01 0.26
"127" -0.23 0.16 -1.37
"128" -1.14 2.08 -2.56
"129" -2.33 0.09 -1.29
"130" -2.17 0.24 -1.04
"131" -0.57 1.18 -1.71
"132" 0.85 0 -1.42
"133" 1.1 0.19 -0.01
"134" 0.66 -0.21 0.2
"135" 0.68 0.08 -0.7
"136" 0.72 -0.61 -0.53
"137" 0.36 -0.74 -0.38
"138" 0.48 0.17 -0.52
"139" 0.39 0.46 -0.17
"140" 0.22 0.09 0.02
"141" -0.32 -0.67 -0.1
"142" -1.33 -0.15 -0.47
"143" -1.3 0.61 -0.52
"144" -0.48 -0.12 -0.57
"145" 0.23 0.11 -0.8
"146" 0.43 -1.09 -0.39
"147" -3.17 -6.08 1.49
"148" 8.85 -11.95 -8.94
"149" 36.31 25.48 -31.98
"150" -48.24 1.9 -26.98
"151" -32.64 0.72 -18.65
"152" 8.02 18.59 -15.25
"153" 6.09 9.74 4.21
"154" 5.2 0.72 -1.41
"155" 3.58 -4.58 -4.3
"156" 4.83 -5.2 -4.84
"157" 18.54 -8 -15.87
"158" 33.94 33.81 -32.27
"159" -48.46 13.54 -7.43
"160" -15.77 13.02 -8.41
"161" -0.33 15.2 -2.68
"162" 3.73 3.04 4.39
"163" 12.04 1.52 1.25
"164" 7.18 -12.25 -4.24
"165" 15.22 -2.64 -12.92
"166" 36.13 21.99 -31.68
"167" -48.81 13.21 -35.2
"168" -38.93 3.06 -1.75
"169" -2.6 29.49 6.21
"170" 5.86 2.87 -0.22
"171" 23.99 -2.37 -10.49
"172" 39.55 14.85 -24.22
"173" -19.19 -15.78 -32.78
"174" -48.47 22.97 -19.81
"175" -25.11 20.07 15.46
"176" -3.85 17.32 10.6
"177" 7.45 3.74 -1.58
"178" 15.33 -1.71 -14.04
"179" 34.28 8.82 -33.68
"180" -13.37 8.58 -31.62
"181" -48.76 28.38 -17.31
"182" -10.67 1.23 5.44
